company,position,status,status_updated,date_applied,date_rejected,posting,through,notes
Anthropic,,hold,2024-12-19,,,,,"Doesn't look like they're hiring remote from Canada"
Linear,,preparing-application,2024-12-19,,,,,Building a project for them
Cloudflare,,hold,2024-12-19,,,,,"No relevant positions right now"
Wealthsimple,,hold,2024-12-19,,,,,"No relevant positions right now"
Vercel,,networking,2024-12-19,,,,,Reached out to Ken Lee on linkedin
Sentry,"Senior Software Engineer, Crons & Uptime",applied,,2024-12-13,,https://boards.greenhouse.io/sentry/jobs/6309911,Online application,
Top Hat,Senior Technical Product Manager,applied,,2024-12-13,,https://tophat.com/company/work-with-us/?ashby_jid=780df86a-6def-4c1e-ac29-915db98eea7b,Online application,
Faire,Senior Full-stack Engineer - Growth,applied,,2024-12-13,,https://job-boards.greenhouse.io/faire/jobs/7711926002,Online application,"Right after applying I realized it's in-person in kitchener-waterloo. So not really an option. Oh well."
Cast & Crew,Sr or Lead Front End SW Engineer,applied,,2024-12-12,,https://hirevouch.catsone.com/careers/95532-General/jobs/15797159-Sr-Full-Stack-SW-Eng--JavaScript/,Shelby Hurlburt (hireVouch),
Chexy,Sr Full Stack SW Eng - JavaScript,interviewing,,2024-12-09,,https://hirevouch.catsone.com/careers/95532-General/jobs/15797159-Sr-Full-Stack-SW-Eng--JavaScript/,Shelby Hurlburt (hireVouch),
GitHub,Software Engineer II,applied,,2024-12-11,,https://www.github.careers/careers-home/jobs/3243?lang=en-us,Online application,
GitLab,Intermediate Fullstack Engineer - Fulfillment,rejected,,2024-12-02,2024-12-05,https://about.gitlab.com/jobs/listing/intermediate-fullstack-engineer-fulfillment-utilization/1466616/,Online application,
Stripe,Frontend Engineer - Payments Optimized Checkout Link,applied,,2024-11-29,,https://stripe.com/jobs/listing/frontend-engineer-payments-optimized-checkout-link/6410218,Online application,